,가게명,메뉴명,가격
0,정릉동 가장맛있는족발(정릉점),"정릉,길음,돈암,미아,무료배달 ++명품 족발++(족발(중+새콤달콤 막국수)","39,000원"
1,정릉동 가장맛있는족발(정릉점),"정릉,길음,돈암,미아,무료배달 ++명품 족발++(족발(대+새콤달콤 막국수)","44,000원"
2,정릉동 가장맛있는족발(정릉점),"정릉,길음,돈암,미아,무료배달 ++명품 족발++(족발(중+큰쟁반국수 세트)","49,000원"
3,정릉동 가장맛있는족발(정릉점),"정릉,길음,돈암,미아,무료배달 ++명품 족발++(족발(대+큰쟁반국수 세트)","54,000원"
4,정릉동 가장맛있는족발(정릉점),[[야들야들 따듯한~]] 보쌈(보쌈(중+새콤달콤 막국수),"39,000원"
5,정릉동 가장맛있는족발(정릉점),[치킨보다 저렴해요 가성비 최고] 실속족발(실속족발(1~2인+새콤달콤 막국수),"31,000원"
6,정릉동 가장맛있는족발(정릉점),[치킨보다 저렴해요 가성비 최고] 실속족발(실속족발(1~2인 +큰쟁반국수 세트),"38,000원"
7,정릉동 가장맛있는족발(정릉점),[치킨보다 저렴하다 가성비 갑] 실속불족(실속불족(1~2인+새콤달콤 막국수),"31,000원"
8,정릉동 가장맛있는족발(정릉점),[치킨보다 저렴하다 가성비 갑] 실속불족(실속불족(1~2인+큰쟁반국수 세트),"41,000원"
9,정릉동 가장맛있는족발(정릉점),[치킨보다 저렴한 가성비 갑] 실속보쌈(실속보쌈(1~2인+새콤달콤 막국수),"31,000원"
10,정릉동 가장맛있는족발(정릉점),[[주문수 1위]] 반반족발(반반족발(중+새콤달콤 막국수),"44,000원"
11,정릉동 가장맛있는족발(정릉점),[[주문수 1위]] 반반족발(반반족발(대+새콤달콤 막국수),"54,000원"
12,정릉동 가장맛있는족발(정릉점),[[주문수 1위]] 반반족발(반반족발(중+큰쟁반국수 세트),"54,000원"
13,정릉동 가장맛있는족발(정릉점),[[주문수 1위]] 반반족발(반반족발(대+큰쟁반국수 세트),"64,000원"
14,정릉동 가장맛있는족발(정릉점),"정릉,길음,돈암,미아,무료배달 ++명품 족발++(족발(중+새콤달콤 막국수)","39,000원"
15,정릉동 가장맛있는족발(정릉점),®큰쟁반국수®,"12,000원"
16,정릉동 가장맛있는족발(정릉점),®쟁반쫄면®,"12,000원"
17,정릉동 가장맛있는족발(정릉점),가족의 무뼈닭발 주먹밥,"13,000원"
18,정릉동 가장맛있는족발(정릉점),®해물부추전®,"15,000원"
19,정릉동 가장맛있는족발(정릉점),®얼큰술국®,"15,000원"
20,정릉동 가장맛있는족발(정릉점),®칠성사이다®(245ml),"1,000원"
21,정릉동 가장맛있는족발(정릉점),®칠성사이다®(500ml),"2,000원"
22,정릉동 가장맛있는족발(정릉점),®칠성사이다®(1.25L),"3,000원"
