,가게명,nickname,content,date,visit
0,정릉동 가장맛있는족발(정릉점),yy1****,,2.8.토,3번째 방문
1,정릉동 가장맛있는족발(정릉점),yy1****,,24.12.27.금,2번째 방문
2,정릉동 가장맛있는족발(정릉점),포포3428,반반세트(4만)시켰는데 3인 먹기에 딱이였어요.일단 반찬들이 다 맛있고 고기도 잡내 안 나고 맛있었어요. 근처에 들렀다가 검색해서 갔는데 차 대고 포장해오기가 편하고 맛도 있어서 자주 가야겠네요.,24.10.17.목,1번째 방문
3,정릉동 가장맛있는족발(정릉점),94o3z5,포장은 양이 적은 것 같아 아쉬워요,24.9.29.일,1번째 방문
4,정릉동 가장맛있는족발(정릉점),yjw****,이사오고서 처음으로 찾은 동네 맛집~~!! 정말 맛있네요~!!! 자주 올꺼같습니다,24.7.18.목,1번째 방문
5,정릉동 가장맛있는족발(정릉점),지비8,존맛탱,24.6.21.금,2번째 방문
6,정릉동 가장맛있는족발(정릉점),후룰루루70,1인 메뉴라고 하셨는데 2인이거 아주 잘 먹었어요건강한 맛이고 엄청 맛있었어요자주자주 갈게요,24.5.28.화,1번째 방문
7,정릉동 가장맛있는족발(정릉점),dldlrwn135,아이들이 좋아하는 동네 족발맛집,24.4.26.금,3번째 방문
8,정릉동 가장맛있는족발(정릉점),dldlrwn135,우리동네 친절한 족발맛집,24.3.18.월,2번째 방문
9,정릉동 가장맛있는족발(정릉점),별빛나무숲,좋아요,24.3.11.월,1번째 방문
10,정릉동 가장맛있는족발(정릉점),야무진54,전화예약하고맛있어요^^,24.3.2.토,4번째 방문
11,정릉동 가장맛있는족발(정릉점),dldlrwn135,아이들이 좋아하는 족발집매콤하고 시원한 콩나물국도 일품×2,24.2.15.목,1번째 방문
12,정릉동 가장맛있는족발(정릉점),바다6345,족발 생각난다시는데 매콤한것도 좋을것같아반반~,24.1.26.금,6번째 방문
13,정릉동 가장맛있는족발(정릉점),몬스테라96,역시 매장에 가서 먹으니 족발이 더 맛있네요 냄새도 안나고 야들야들 맛있어요,24.1.21.일,1번째 방문
14,정릉동 가장맛있는족발(정릉점),호잇1812,굿,23.12.20.수,1번째 방문
15,정릉동 가장맛있는족발(정릉점),먹학개론,정릉 인기 족발집,23.10.11.수,1번째 방문
16,정릉동 가장맛있는족발(정릉점),zero0257,음식이 맛있어요! 그래서 그런지 계속 배달안내 방송이 쉴틈없이 나와서 좀 시끄럽습니다. ㅎㅎ 홀에서 드실꺼면 참고하세요,23.10.2.월,1번째 방문
17,정릉동 가장맛있는족발(정릉점),와니하니,외출 다녀온뒤 저녁하기 힘들어정말 오랜만에 가족 족보세트 주문했어요. 너무 맛있고 배부르게 먹었습니다.,23.8.13.일,2번째 방문
18,정릉동 가장맛있는족발(정릉점),바다6345,온가족이 모여 냠냠매운거 못먹는 우리 입맛에도 불향가득 직화불족발도 넘 맛났어요 ^^,23.8.5.토,5번째 방문
19,정릉동 가장맛있는족발(정릉점),lujina99,맛있어요,23.8.4.금,3번째 방문
20,정릉동 가장맛있는족발(정릉점),zhe****,좋아요,23.7.31.월,1번째 방문
21,정릉동 가장맛있는족발(정릉점),기다림54,보쌈이 맛있어요~~~~,23.7.29.토,1번째 방문
22,정릉동 가장맛있는족발(정릉점),lujina99,,23.6.3.토,2번째 방문
23,정릉동 가장맛있는족발(정릉점),jyk****,맛있어요,23.5.22.월,2번째 방문
24,정릉동 가장맛있는족발(정릉점),dlq****,좋아요,23.5.17.수,5번째 방문
25,정릉동 가장맛있는족발(정릉점),dlgpfus772,족발은 항상 가족입니다 맛이 담백하고 고기가 쫄깃하고 부드러워요 서비스 막국수도 맛나요 부추랑 한쌈 하면 더더 맛있어요 겉절이도 아삭하고 아이들도 먹기좋아요 포장은 할인도 되서 늘 포장해서 먹어요,23.5.15.월,1번째 방문
26,정릉동 가장맛있는족발(정릉점),더 프렌즈60,좋아요,23.4.27.목,1번째 방문
27,정릉동 가장맛있는족발(정릉점),이쁜여우6877,맛있어요.,23.4.7.금,1번째 방문
28,정릉동 가장맛있는족발(정릉점),우리두리41,가끔씩 주문하여 먹는 단골족발집오늘은 포장으로 ~~쫄깃하고 맛있어요,23.4.7.금,1번째 방문
29,정릉동 가장맛있는족발(정릉점),크게웃자,보쌈은 생각보다 별로였고 족발은 소문대로 짱~!!!불족 맛있어요^^,23.3.25.토,1번째 방문
30,정릉동 가장맛있는족발(정릉점),사랑꽃47,굿,23.3.12.일,3번째 방문
31,정릉동 가장맛있는족발(정릉점),바다6345,오늘의 족발이 넘 맛났네요 ^^,23.3.11.토,4번째 방문
32,정릉동 가장맛있는족발(정릉점),toppopcorn,맛있어요,23.3.1.수,2번째 방문
33,정릉동 가장맛있는족발(정릉점),바다6345,탱글 쫄깃 맛나요,23.2.24.금,3번째 방문
34,정릉동 가장맛있는족발(정릉점),fpvocalist,굳 너무 맛잇음,23.2.15.수,1번째 방문
