구분,경로당명,주소,전화번호,기준일자,위도,경도,행정동
사립,경남(아)경로당,"서울특별시 성북구 정릉로 305, 경남아파트 관리동 내",02-943-0627,2021-01-01,37.60484552,127.0178054,정릉1동
사립,쌍용스카이(아)경로당,"서울특별시 성북구 북악산로 828, 쌍용스카이(아) 관리동 내",02-943-1814,2021-01-01,37.60018914,127.0157431,정릉1동
사립,우성(아)경로당,"서울특별시 성북구 북악산로813,우성아파트",02-919-0717,2021-01-01,37.60113925,127.0149455,정릉1동
구립,정릉1동경로당,"서울특별시 성북구 정릉로38가길 6, 정릉1동커뮤니티센터 1층",02-914-1588,2021-01-01,37.60208696,127.0183846,정릉1동
사립,길음뉴타운라온유경로당,"서울특별시 성북구 정릉로 307, 길음뉴타운10단지",02-914-4149,2021-01-01,37.60322851,127.0178662,정릉1동
사립,정릉2차e-편한세상경로당,서울특별시 성북구 북악산로 851 ,02-919-5003,2021-01-01,37.60024487,127.0185002,정릉1동
사립,정릉쌍용(아)경로당,"서울특별시 성북구 북악산로 845, 정릉쌍용(아)관리동 내",02-909-0954,2021-01-01,37.59930283,127.0182733,정릉1동
사립,정릉현대홈타운(힐스테이트아파트)경로당,"서울특별시 성북구 정릉로 292,현대힐스테이트 1차 노인정",02-919-8653,2021-01-01,37.60301029,127.0159693,정릉1동
사립,정릉힐스테이트1차(아)경로당,"서울특별시 성북구 북악산로 825-24, 정릉힐스테이트(아)단지 내",,2021-01-01,37.60029328,127.0171069,정릉1동
사립,태영(아)경로당,"서울특별시 성북구 서경로 28, 태영아파트",02-6231-0240,2021-01-01,37.60614991,127.0157105,정릉1동
사립,정릉태영2단지경로당,"서울특별시 성북구 서경로2길 48, 태영아파트2단지",,2021-01-01,37.6057709,127.0167441,정릉1동
사립,길음11롯데캐슬경로당,"서울특별시 성북구 서경로 60,길음뉴타운11단지롯데캐슬골든힐스",,2021-01-01,37.60992599,127.0154584,정릉1동
구립,정릉2동508번지경로당,"서울특별시 성북구 북악산로1가길 36, 유명빌라 B01",02-942-5222,2021-01-01,37.59956454,127.0046099,정릉2동
사립,공청경로당,서울특별시 성북구 정릉로26가길 24-2,02-914-4862,2021-01-01,37.60292952,127.0116857,정릉2동
구립,정릉2동경로당,서울특별시 성북구 보국문로8나길 39,02-915-0029,2021-01-01,37.60935125,127.0123872,정릉2동
