사업장명,영업상태,업태,전화번호,주소,인허가일자,폐업일자,최종수정일,크롤링여부
인터페이스PC,취소/말소/만료/정지/중지,,914-6400,"서울특별시 성북구 정릉동 109-2번지 2층,3층 ",2007-08-03,2013-05-02,2018-08-31 23:59:59.0,Y
맥PC카페,영업/정상,,,서울특별시 성북구 정릉동 16-169 ,2007-09-21,,2024-11-24 02:40:00.0,Y
SOOP PC방,영업/정상,,,서울특별시 성북구 정릉동 260-28 2층 ,2007-10-11,,2023-11-24 02:40:00.0,Y
맥PC방(정릉점),취소/말소/만료/정지/중지,,,서울특별시 성북구 정릉동 266-93번지 2층 ,2008-02-01,2015-04-22,2018-08-31 23:59:59.0,Y
지투존PC방,취소/말소/만료/정지/중지,,,서울특별시 성북구 정릉동 266-107번지 2층 ,2008-03-11,2013-05-02,2018-08-31 23:59:59.0,Y
에이스,취소/말소/만료/정지/중지,,,서울특별시 성북구 정릉동 350-8번지 2층 ,2008-05-22,2013-05-02,2018-08-31 23:59:59.0,Y
러쉬PC,영업/정상,,02-909-1666,서울특별시 성북구 정릉동 227-37 ,2008-06-10,,2023-11-24 02:40:00.0,Y
매직넷(청소년PC방),영업/정상,,02-910-8007,서울특별시 성북구 정릉동 227-150 ,2008-06-11,,2024-03-16 02:40:00.0,Y
보아스 셀프 PC - 2022년도 부터 안함 직권말소 대상,영업/정상,,,서울특별시 성북구 정릉동 106-3 영신빌딩 ,2008-06-11,,2023-11-25 02:40:00.0,Y
아이조아PC방,취소/말소/만료/정지/중지,,,서울특별시 성북구 정릉동 401-46번지 108호,2008-11-07,2013-05-02,2018-08-31 23:59:59.0,Y
제이원피시방,취소/말소/만료/정지/중지,,,서울특별시 성북구 정릉동 14-21번지 1층 ,2009-10-19,,2018-08-31 23:59:59.0,Y
시즌아이PC방,취소/말소/만료/정지/중지,,9429799,서울특별시 성북구 정릉동 16-175번지 지층 ,2009-10-23,2019-04-26,2019-04-28 02:40:00.0,Y
ATOZ 피시방,영업/정상,,,서울특별시 성북구 정릉동 286-6 ,2011-05-03,,2023-11-25 02:40:00.0,Y
엔플PC,취소/말소/만료/정지/중지,,,서울특별시 성북구 정릉동 408-3번지 ,2012-01-06,2019-04-26,2019-04-28 02:40:00.0,Y
PIN PC방,취소/말소/만료/정지/중지,,,서울특별시 성북구 정릉동 882-6번지 ,2013-01-08,2019-04-26,2019-04-28 02:40:00.0,Y
3POP(쓰리팝)PC방,영업/정상,,,서울특별시 성북구 정릉동 373-4 2층 ,2013-09-05,,2020-11-01 02:40:00.0,Y
힐링PC방,취소/말소/만료/정지/중지,,,서울특별시 성북구 정릉동 285-10번지 ,2015-12-14,,2019-09-11 02:40:00.0,Y
아이센스 PC방 (2023.2.28. 현재 공실로 공실),취소/말소/만료/정지/중지,,,서울특별시 성북구 정릉동 350-7 ,2017-05-22,2023-08-25,2023-08-30 02:40:00.0,Y
콜 PC,취소/말소/만료/정지/중지,,,서울특별시 성북구 정릉동 16-29번지 ,2018-03-21,,2020-01-11 02:40:00.0,Y
PC TAG,영업/정상,,,서울특별시 성북구 정릉동 260-25 샛별중앙교회 ,2018-10-18,,2022-04-22 02:40:00.0,Y
대박PC (성인용),영업/정상,,,서울특별시 성북구 정릉동 285-10 ,2024-09-19,,2025-02-22 02:40:00.0,Y
