사업장명,영업상태,업태,전화번호,주소,인허가일자,폐업일자,최종수정일,크롤링여부
가족 노래연습장,영업/정상,,912-3753,서울특별시 성북구 정릉동 16-323번지 ,1999-06-24,,2020-04-11 02:40:00.0,Y
컬투 노래연습장,영업/정상,,917-8303,서울특별시 성북구 정릉동 16-155 ,1999-06-24,,2021-05-16 02:40:00.0,Y
아리랑 노래연습장,영업/정상,,909-2471,서울특별시 성북구 정릉동 674-5번지 ,1999-06-24,,2019-03-22 02:40:00.0,Y
국민 노래연습장,영업/정상,,941-2833,서울특별시 성북구 정릉동 139-7번지 국민은행 ,1999-07-08,,2018-08-31 23:59:59.0,Y
랄랄라 노래방,취소/말소/만료/정지/중지,,943-9906,서울특별시 성북구 정릉동 227-72 명성맨션 ,2000-08-29,2024-07-29,2024-07-31 02:40:00.0,Y
아리랑노래연습장,취소/말소/만료/정지/중지,,911-6344,서울특별시 성북구 정릉동 285-3번지 16통6반 ,2001-03-22,,2018-08-31 23:59:59.0,Y
스타 노래연습장,영업/정상,,942-8224,서울특별시 성북구 정릉동 393-3번지 ,2001-07-04,,2018-08-31 23:59:59.0,Y
힐링 노래연습장,영업/정상,,915-0033,서울특별시 성북구 정릉동 161-17 명성빌딩 ,2002-04-06,,2020-11-22 02:40:00.0,Y
팡팡 노래연습장,영업/정상,,919-4317,서울특별시 성북구 정릉동 16-174번지 정릉제일정형외과내과의원 ,2003-09-29,,2019-01-02 02:40:00.0,Y
까치 노래연습장,영업/정상,,941-1744,서울특별시 성북구 정릉동 260-25 샛별중앙교회 ,2003-12-01,,2021-05-08 02:40:00.0,Y
秀 노래연습장,영업/정상,,916-1610,서울특별시 성북구 정릉동 413-6번지 ,2004-03-17,,2018-08-31 23:59:59.0,Y
피플 노래연습장,영업/정상,,943-2227,서울특별시 성북구 정릉동 892-9번지 북악교회 ,2004-07-12,,2018-12-23 02:40:00.0,Y
뮤젠 노래연습장,영업/정상,,943-8689,서울특별시 성북구 정릉동 404-14번지 야원빌딩 ,2004-10-12,,2018-08-31 23:59:59.0,Y
아리랑 노래연습장,영업/정상,,,서울특별시 성북구 정릉동 109-2 ,2005-11-16,,2021-06-20 02:40:00.0,Y
V 노래연습장,영업/정상,,,서울특별시 성북구 정릉동 411-33번지 ,2006-01-18,,2020-04-15 02:40:00.0,Y
KBS 노래연습장,영업/정상,,,서울특별시 성북구 정릉동 284-11번지 대영빌딩 ,2009-06-26,,2018-08-31 23:59:59.0,Y
올스타 노래연습장,영업/정상,,911-6322,서울특별시 성북구 정릉동 285-3번지 ,2013-04-04,,2018-08-31 23:59:59.0,Y
고래고래 코인노래연습장,영업/정상,,911-0493,서울특별시 성북구 정릉동 401-63번지 ,2017-07-04,,2018-08-31 23:59:59.0,Y
락 코인노래연습장,영업/정상,,,서울특별시 성북구 정릉동 400-25 지1층 ,2017-12-26,,2022-09-28 02:40:00.0,Y
