사업장명,영업상태,업태,전화번호,주소,인허가일자,폐업일자,최종수정일,크롤링여부
오복 당구장,영업/정상,,910-7257,서울특별시 성북구 정릉동 957-8번지 ,1985-10-31,,2018-08-31 23:59:59.0,Y
수 당구장,영업/정상,,914-0706,서울특별시 성북구 정릉동 894-11 2층 ,1989-12-22,,2024-03-30 02:40:00.0,Y
한일당구장,영업/정상,,917--7112,서울특별시 성북구 정릉동 957-18번지 ,1989-12-22,,2018-08-31 23:59:59.0,Y
첼린저당구장,영업/정상,,909-4013,서울특별시 성북구 정릉동 266-428번지 ,1990-12-24,,2018-08-31 23:59:59.0,Y
정일당구장,영업/정상,,942-0046,"서울특별시 성북구 정릉동 14-39번지 ,14-38 ",1998-10-21,,2018-08-31 23:59:59.0,Y
월드당구장,영업/정상,,911-7760,서울특별시 성북구 정릉동 884-1번지 ,2001-07-18,,2018-08-31 23:59:59.0,Y
월드 당구장,영업/정상,,915-1780,서울특별시 성북구 정릉동 405-2 ,2004-01-16,,2024-09-11 02:40:00.0,Y
성문당구장,영업/정상,,,서울특별시 성북구 정릉동 164-62번지 ,2005-09-14,,2018-08-31 23:59:59.0,Y
대성당구장,영업/정상,,,서울특별시 성북구 정릉동 894-5 (지1층) ,2008-04-16,,2020-09-10 02:40:00.0,Y
Gzone,영업/정상,,,서울특별시 성북구 정릉동 227-74번지 지하1층 ,2009-06-18,,2018-08-31 23:59:59.0,Y
sbs당구클럽,영업/정상,,904-4292,서울특별시 성북구 정릉동 284-11번지 3층 ,2009-07-14,,2019-07-12 02:40:00.0,Y
OK당구장,영업/정상,,,서울특별시 성북구 정릉동 286-6번지 5층 ,2010-08-26,,2018-08-31 23:59:59.0,Y
보스당구클럽,영업/정상,,02-6368-3947,서울특별시 성북구 정릉동 298-2 2층 ,2012-01-26,,2023-04-07 02:40:00.0,Y
뉴월드당구장,영업/정상,,9253545,서울특별시 성북구 정릉동 405-3번지 3층 ,2015-04-10,,2018-08-31 23:59:59.0,Y
반고,영업/정상,,,서울특별시 성북구 정릉동 684-1번지 ,2015-06-16,,2018-08-31 23:59:59.0,Y
스카치당구장,영업/정상,,,서울특별시 성북구 정릉동 287-3번지 2층 ,2015-09-03,,2018-08-31 23:59:59.0,Y
원 당구장,영업/정상,,,서울특별시 성북구 정릉동 266-107번지 2층 ,2016-07-22,,2018-08-31 23:59:59.0,Y
명성당구장,영업/정상,,02-943-0133,서울특별시 성북구 정릉동 161-17 명성빌딩 ,2019-03-14,,2024-01-04 02:40:00.0,Y
369 당구클럽,영업/정상,,02-943-3690,서울특별시 성북구 정릉동 16-225 ,2020-01-06,,2024-10-30 02:40:00.0,Y
엣지당구장,영업/정상,,,서울특별시 성북구 정릉동 16-202 ,2021-11-15,,2021-11-17 00:22:45.0,Y
스카치 대대 당구클럽,영업/정상,,,서울특별시 성북구 정릉동 287-3 ,2022-01-19,,2022-01-21 00:22:39.0,Y
