사업장명,영업상태,업태,전화번호,주소,인허가일자,폐업일자,최종수정일,크롤링여부
정아,영업/정상,일반미용업,02 9136044,서울특별시 성북구 정릉동 740번지 ,1974-05-05,,2018-08-31 23:59:59.0,Y
예은헤어뷰티,영업/정상,일반미용업,0209145277,서울특별시 성북구 정릉동 286-5 ,1977-08-10,,2021-12-15 02:40:00.0,Y
산호,영업/정상,일반미용업,0209146097,서울특별시 성북구 정릉동 16-442번지 ,1978-12-09,,2018-08-31 23:59:59.0,Y
김영애헤어갤러리,영업/정상,일반미용업,02 9246284,서울특별시 성북구 정릉동 260-71번지 (1층) ,1986-12-12,,2018-08-31 23:59:59.0,Y
황선화헤어살롱,영업/정상,일반미용업,,서울특별시 성북구 정릉동 1025번지 현대홈타운 상가 107호 ,1988-10-26,,2018-08-31 23:59:59.0,Y
가이헤어클럽,영업/정상,일반미용업,02 9158465,서울특별시 성북구 정릉동 786-4번지 ,1990-02-09,,2018-08-31 23:59:59.0,Y
영헤어,영업/정상,일반미용업,0209137583,서울특별시 성북구 정릉동 227-151번지 ,1990-06-16,,2018-08-31 23:59:59.0,Y
청운헤어샾,영업/정상,일반미용업,0209104965,서울특별시 성북구 정릉동 210번지 ,1991-03-20,,2018-08-31 23:59:59.0,Y
새롬미용실,영업/정상,일반미용업,0209094767,서울특별시 성북구 정릉동 260-5 ,1991-12-04,,2020-06-27 02:40:00.0,Y
헤어센스,영업/정상,일반미용업,02 9190390,서울특별시 성북구 정릉동 167-22번지 (지상1층) ,1992-04-21,,2018-08-31 23:59:59.0,Y
현주머리마을,영업/정상,일반미용업,0209433275,서울특별시 성북구 정릉동 559-111번지 ,1992-03-15,,2018-08-31 23:59:59.0,Y
새시대미용실,영업/정상,일반미용업,02 9188887,서울특별시 성북구 정릉동 16-279번지 ,1993-05-06,,2018-08-31 23:59:59.0,Y
올리브헤어컷,영업/정상,일반미용업,02 9124617,서울특별시 성북구 정릉동 284-12 ,1994-09-22,,2020-06-27 02:40:00.0,Y
박소영미용실,영업/정상,일반미용업,02 9189626,서울특별시 성북구 정릉동 350-1번지 ,1997-06-26,,2018-08-31 23:59:59.0,Y
갈뫼미용실,영업/정상,일반미용업,02 9161687,서울특별시 성북구 정릉동 175-18 ,1998-09-25,,2024-08-17 02:40:00.0,Y
오수현머리방,영업/정상,일반미용업,02 9164117,서울특별시 성북구 정릉동 181-12번지 ,1999-10-26,,2018-08-31 23:59:59.0,Y
박미정헤어센스,영업/정상,일반미용업,02 9423897,서울특별시 성북구 정릉동 903-12 ,1999-09-03,,2024-02-22 02:40:00.0,Y
이상미용실,영업/정상,일반미용업,02 9160252,서울특별시 성북구 정릉동 392-25번지 1층 ,2000-09-26,,2018-08-31 23:59:59.0,Y
성원,영업/정상,일반미용업,02 9139154,서울특별시 성북구 정릉동 14-14번지 ,2000-02-07,,2018-08-31 23:59:59.0,Y
이쁜머리,영업/정상,일반미용업,,서울특별시 성북구 정릉동 270-4번지 ,2002-04-29,,2020-06-10 02:40:00.0,Y
오월헤어,영업/정상,일반미용업,0207649967,서울특별시 성북구 정릉동 409-36 ,2002-01-07,,2023-04-19 02:40:00.0,Y
아도르 헤어,영업/정상,일반미용업,02 9427664,서울특별시 성북구 정릉동 140-9번지 ,2003-08-26,,2018-08-31 23:59:59.0,Y
김민정헤어갤러리,영업/정상,일반미용업,02 9417881,서울특별시 성북구 정릉동 16-323번지 ,2004-03-08,,2018-08-31 23:59:59.0,Y
허쌤헤어스튜디오,영업/정상,일반미용업,02 9115718,서울특별시 성북구 정릉동 239번지 정릉풍림상가 1동 107-3호,2004-04-02,,2019-01-18 02:40:00.0,Y
