사업장명,영업상태,업태,전화번호,주소,인허가일자,폐업일자,최종수정일,크롤링여부
선일사,영업/정상,일반세탁업,02 9115950,서울특별시 성북구 정릉동 16-132번지 ,1998-01-23,,2018-08-31 23:59:59.0,Y
성보,영업/정상,일반세탁업,0209149607,서울특별시 성북구 정릉동 820-4번지 ,1987-06-01,,2018-08-31 23:59:59.0,Y
동아세탁소,영업/정상,일반세탁업,02   9418806,서울특별시 성북구 정릉동 210번지 동아아파트상가동 105호 ,2005-03-21,,2018-08-31 23:59:59.0,Y
우성세탁소,영업/정상,일반세탁업,02 9111156,서울특별시 성북구 정릉동 1020번지 정릉우성아파트 1상가 302호 ,2007-06-20,,2018-08-31 23:59:59.0,Y
현대사,영업/정상,일반세탁업,0200000000,서울특별시 성북구 정릉동 16-6번지 ,1990-07-21,,2018-08-31 23:59:59.0,Y
은성사,영업/정상,일반세탁업,02 9114205,서울특별시 성북구 정릉동 716-124번지 ,1993-01-21,,2018-08-31 23:59:59.0,Y
블루세탁,영업/정상,일반세탁업,,서울특별시 성북구 정릉동 350-1번지 2층 ,2015-07-13,,2019-08-03 02:40:00.0,Y
하늘세탁,영업/정상,일반세탁업,02 9191221,서울특별시 성북구 정릉동 1014번지 정릉스카이 쌍용아파트 상가동 105호,2005-12-19,,2020-02-12 02:40:00.0,Y
푸르지오세탁,영업/정상,일반세탁업,0209127036,서울특별시 성북구 정릉동 406-1번지 대우푸르지오아파트 상가동 2층호,1988-03-30,,2018-08-31 23:59:59.0,Y
대우세탁,영업/정상,일반세탁업,02 9424282,서울특별시 성북구 정릉동 1021-0번지 대우아파트 상가 301 ,2002-11-13,,2018-08-31 23:59:59.0,Y
백조사,영업/정상,일반세탁업,02 9176062,서울특별시 성북구 정릉동 305-8번지 ,2002-11-15,,2018-08-31 23:59:59.0,Y
깔끔이세탁소,영업/정상,일반세탁업,02 9094230,서울특별시 성북구 정릉동 16-69번지 ,1996-09-20,,2018-08-31 23:59:59.0,Y
아름사,영업/정상,일반세탁업,02 9173863,서울특별시 성북구 정릉동 685-13 ,1997-06-16,,2024-04-19 02:40:00.0,Y
우리동네 세탁소,영업/정상,일반세탁업,000009423848,서울특별시 성북구 정릉동 396-8 ,2015-04-30,,2022-02-24 02:40:00.0,Y
유성,영업/정상,일반세탁업,0209146956,서울특별시 성북구 정릉동 771-46번지 ,1987-06-01,,2018-08-31 23:59:59.0,Y
대우세탁소,영업/정상,일반세탁업,02  909 1955,서울특별시 성북구 정릉동 16-342 1층 ,2019-12-02,,2024-03-24 02:40:00.0,Y
명성세탁,영업/정상,일반세탁업,,서울특별시 성북구 정릉동 654-34번지 ,2009-04-22,,2020-02-16 00:23:39.0,Y
풍림아이원세탁소,영업/정상,일반세탁업,,서울특별시 성북구 정릉동 239 정릉풍림아이원 ,2020-12-14,,2020-12-16 00:23:06.0,Y
대림세탁,영업/정상,일반세탁업,02  918 6788,서울특별시 성북구 정릉동 1028-2번지 정릉e편한세상 상가 301동 103호,2013-08-30,,2018-08-31 23:59:59.0,Y
한신크리닝,영업/정상,일반세탁업,02 9185903,서울특별시 성북구 정릉동 266-124번지 행복빌라 101호,1995-09-27,,2019-02-13 02:40:00.0,Y
정혜사,영업/정상,일반세탁업,02 9415595,서울특별시 성북구 정릉동 227-150번지 ,1992-05-18,,2018-08-31 23:59:59.0,Y
바늘과실,영업/정상,일반세탁업,02 9433993,서울특별시 성북구 정릉동 181-12번지 ,2002-12-16,,2018-08-31 23:59:59.0,Y
백마,영업/정상,일반세탁업,0209148856,서울특별시 성북구 정릉동 16-319번지 ,1987-05-28,,2018-08-31 23:59:59.0,Y
경남세탁소,영업/정상,일반세탁업,,서울특별시 성북구 정릉동 1015번지 상가동 101호 ,2004-04-07,,2018-08-31 23:59:59.0,Y
스카이 세탁소,영업/정상,일반세탁업,000009427405,서울특별시 성북구 정릉동 508-45번지 현대로얄 101호,2015-07-10,,2018-08-31 23:59:59.0,Y
