사업장명,영업상태,업태,전화번호,주소,인허가일자,폐업일자,최종수정일,크롤링여부
동그라미약국,영업/정상,,,서울특별시 성북구 정릉동 107번지 15호,1963-10-19,,2023-06-08 02:40:00.0,Y
세종약국,영업/정상,,02-914-3685,서울특별시 성북구 정릉동 779번지 1호,1978-10-11,,2021-04-29 02:40:00.0,Y
수보약국,영업/정상,,02-914-1555,서울특별시 성북구 정릉동 393번지 8호,1980-09-30,,2021-12-11 02:40:00.0,Y
새민우약국,영업/정상,,02-917-4275,서울특별시 성북구 정릉동 1017번지 정릉쌍용아파트,1983-08-31,,2021-12-11 02:40:00.0,Y
소망약국,영업/정상,,02-918-8055,서울특별시 성북구 정릉동 16번지 174호,1985-03-02,,2021-12-12 02:40:00.0,Y
상락약국,영업/정상,,02-916-8989,서울특별시 성북구 정릉동 164번지 15호,1988-02-02,,2021-12-10 02:40:00.0,Y
태평양약국,영업/정상,,02-919-2525,서울특별시 성북구 정릉동 286번지 5호 (1층),1998-01-08,,2021-12-11 02:40:00.0,Y
정릉메디칼약국,영업/정상,,02-912-2727,서울특별시 성북구 정릉동 16번지 169호,2002-05-13,,2021-12-12 02:40:00.0,Y
해오름약국,영업/정상,,02-912-2302,서울특별시 성북구 정릉동 239번지 풍림아이원아파트상가  202동 211호,2003-07-18,,2021-12-11 02:40:00.0,Y
그약국,영업/정상,,02-911-0488,서울특별시 성북구 정릉동 403번지 8호,2004-10-11,,2021-12-10 02:40:00.0,Y
멜론약국,영업/정상,,02-942-2712,서울특별시 성북구 정릉동 397번지 13호,2005-02-01,,2021-12-12 02:40:00.0,Y
아이사랑약국,영업/정상,,070-8616-4340,서울특별시 성북구 정릉동 178번지 63호,2006-10-12,,2021-12-11 02:40:00.0,Y
서현약국,영업/정상,,02-3292-0999,서울특별시 성북구 정릉동 14번지 24호,2008-11-21,,2021-12-10 02:40:00.0,Y
이화프라자약국,영업/정상,,02-914-2053,서울특별시 성북구 정릉동 401번지 46호 청수프라자 지하1층B105호,2010-02-22,,2024-01-04 02:40:00.0,Y
백세약국,영업/정상,,916-5342,서울특별시 성북구 정릉동 107-1,2013-02-01,,2023-10-08 02:40:00.0,Y
신흥약국,영업/정상,,914-4103,서울특별시 성북구 정릉동 286번지 17호,2014-06-02,,2021-12-11 02:40:00.0,Y
힘찬약국,영업/정상,,942-2088,서울특별시 성북구 정릉동 413-16,2014-09-01,,2025-02-14 02:40:00.0,Y
미소담약국,영업/정상,,6349-2589,서울특별시 성북구 정릉동 400번지 2호,2014-10-13,,2021-12-10 02:40:00.0,Y
다정약국,영업/정상,,02-915-3588,서울특별시 성북구 정릉동 170번지 29호,2016-05-20,,2018-08-31 23:59:59.0,Y
정릉열린약국,영업/정상,,02-911-2486,서울특별시 성북구 정릉동 403번지 9호,2016-12-07,,2021-04-11 02:40:00.0,Y
정릉약국,영업/정상,,02-914-3982,서울특별시 성북구 정릉동 400번지 25호,2017-09-04,,2021-12-12 02:40:00.0,Y
아가페온누리약국,영업/정상,,02-916-8373,서울특별시 성북구 정릉동 139번지 43호,2018-02-14,,2021-12-10 02:40:00.0,Y
다온약국,영업/정상,,02-6095-7645,서울특별시 성북구 정릉동 285-12,2020-09-14,,2024-01-04 02:40:00.0,Y
정릉우리약국,영업/정상,,02-942-8831,서울특별시 성북구 정릉동 404-14 야원빌딩,2021-06-28,,2021-12-11 02:40:00.0,Y
기린온누리약국,영업/정상,,02-941-8322,서울특별시 성북구 정릉동 408-3,2022-06-13,,2022-06-15 00:22:30.0,Y
