사업장명,영업상태,업태,전화번호,주소,인허가일자,폐업일자,최종수정일,크롤링여부
쥬롱쥬롱,영업/정상,기타,,서울특별시 성북구 정릉동 150-49 1층 ,2019-02-15,,2023-04-14 02:40:00.0,Y
태준식탁,영업/정상,한식,,서울특별시 성북구 정릉동 266-99번지 초대교회 ,2018-12-04,,2020-03-04 02:40:00.0,Y
토크쇼,영업/정상,호프/통닭,02 9139160,서울특별시 성북구 정릉동 286-8 ,1983-10-07,,2021-09-09 02:40:00.0,Y
인생제육성북점,영업/정상,한식,,서울특별시 성북구 정릉동 16-320 ,2023-07-03,,2024-04-10 02:40:00.0,Y
오밀당(서경대점),영업/정상,기타,,서울특별시 성북구 정릉동 227-65 ,2023-08-28,,2023-08-30 00:18:41.0,Y
유 피자,영업/정상,기타,,서울특별시 성북구 정릉동 227-154 ,2023-07-14,,2023-07-16 00:19:09.0,Y
만타스시 정릉스타점,영업/정상,일식,,서울특별시 성북구 정릉동 260-28 ,2022-04-25,,2024-07-19 02:40:00.0,Y
홍가네누룽지,영업/정상,한식,,서울특별시 성북구 정릉동 416-2 ,2022-04-22,,2022-04-24 00:22:33.0,Y
요라멘,영업/정상,일식,,서울특별시 성북구 정릉동 150-51 ,2022-04-21,,2022-04-23 00:22:33.0,Y
다옴 정릉점,영업/정상,일식,,서울특별시 성북구 정릉동 401-46 청수프라자 ,2022-04-21,,2024-04-20 02:40:00.0,Y
와오징어다,영업/정상,한식,,서울특별시 성북구 정릉동 372-21번지 ,2019-02-21,,2019-02-23 02:21:58.0,Y
부산 아지매 국밥,영업/정상,한식,,서울특별시 성북구 정릉동 227-73번지 스마트빌 ,2019-03-22,,2019-03-24 02:20:03.0,Y
한가람푸드,영업/정상,한식,02   9807775,서울특별시 성북구 정릉동 16-283 정일빌딩 ,2017-10-24,,2022-09-25 02:40:00.0,Y
