사업장명,영업상태,업태,전화번호,주소,인허가일자,폐업일자,최종수정일,크롤링여부
이상주치과의원,영업/정상,치과의원,942-2679,서울특별시 성북구 정릉동 401번지 46호 지상2층 204호,1991-05-17,,2024-08-07 02:40:00.0,Y
노아치과의원,영업/정상,치과의원,02-914-3530,서울특별시 성북구 정릉동 110-42 송현빌딩,1995-05-08,,2024-04-07 02:40:00.0,Y
재정한의원,영업/정상,한의원,02-943-6183,서울특별시 성북구 정릉동 1025번지 2층,1995-11-06,,2021-12-03 02:40:00.0,Y
정릉이비인후과의원,영업/정상,의원,911-2133,서울특별시 성북구 정릉동 397번지 14호 지상1층,2000-04-15,,2018-08-31 23:59:59.0,Y
정릉제일정형외과의원,영업/정상,의원,02-942-0857,"서울특별시 성북구 정릉동 16번지 174호 1층 일부, 2층 전체",2002-08-31,,2024-07-28 02:40:00.0,Y
한문수의원,영업/정상,의원,942-7578,서울특별시 성북구 정릉동 107번지 1호 지상2층,2002-10-14,,2024-03-10 02:40:00.0,Y
참사랑가정의학과의원,영업/정상,의원,918-1919,"서울특별시 성북구 정릉동 393번지 8호 , 394-13",2003-03-03,,2018-08-31 23:59:59.0,Y
웃는이치과의원,영업/정상,치과의원,029142882,"서울특별시 성북구 정릉동 413번지 16호 유천빌딩 지상5,6층",2005-08-01,,2022-09-04 02:40:00.0,Y
서경한의원,영업/정상,한의원,02-911-8275,서울특별시 성북구 정릉동 192번지 255호 2층,2007-10-01,,2022-09-17 02:40:00.0,Y
시카고치과의원,영업/정상,치과의원,928-2898,서울특별시 성북구 정릉동 465번지 1호 지상3층,2009-04-30,,2024-08-04 02:40:00.0,Y
경희의감한의원,영업/정상,한의원,02-913-2311,서울특별시 성북구 정릉동 1034번지 길음뉴타운10단지 상가동 B115호,2009-07-06,,2018-08-31 23:59:59.0,Y
오이비인후과의원,영업/정상,의원,911-8270,서울특별시 성북구 정릉동 404번지 14호 외 1필지 2층2호,2009-08-10,,2022-10-15 02:40:00.0,Y
서울아트치과의원,영업/정상,치과의원,02-917-2275,서울특별시 성북구 정릉동 1035번지 6호 정릉2차e-편한세상아파트상가 3층 301호,2009-10-30,,2024-08-04 02:40:00.0,Y
조인트정형외과의원,영업/정상,의원,02-943-9009,서울특별시 성북구 정릉동 414번지 10호 부광빌딩(지상4층),2011-05-06,,2024-12-08 02:40:00.0,Y
도경한의원,영업/정상,한의원,02-909-2575,서울특별시 성북구 정릉동 16번지 175호 백제빌딩(지상2층),2011-10-10,,2022-12-25 02:40:00.0,Y
이소진의원,영업/정상,의원,02-909-8877,"서울특별시 성북구 정릉동 401번지 46호 201호,202호",2012-04-24,,2024-02-03 02:40:00.0,Y
더나은마취통증의학과의원,영업/정상,의원,02-3292-2688,서울특별시 성북구 정릉동 401번지 46호 청수프라자 지상3층 301호,2012-11-27,,2020-08-27 02:40:00.0,Y
서울휴치과의원,영업/정상,치과의원,02-941-2275,서울특별시 성북구 정릉동 777-7,2014-05-20,,2023-06-15 02:40:00.0,Y
서울효치과의원,영업/정상,치과의원,02-6436-2828,서울특별시 성북구 정릉동 403번지 9호 3층,2016-11-03,,2023-08-27 02:40:00.0,Y
조은안과의원,영업/정상,의원,02-3292-7575,서울특별시 성북구 정릉동 403번지 9호 2층,2016-11-03,,2024-01-19 02:40:00.0,Y
연세올바른정형외과의원,영업/정상,의원,029432288,서울특별시 성북구 정릉동 397-41 로즈힐모텔,2016-11-30,,2025-02-23 02:40:00.0,Y
안의원,영업/정상,의원,02-830-7505,서울특별시 성북구 정릉동 404번지 14호 야원빌딩 2층 1호,2017-04-20,,2018-08-31 23:59:59.0,Y
정릉보건지소,영업/정상,보건지소,02-2241-5995,서울특별시 성북구 정릉동 164-62 대진빌딩,2022-06-24,,2022-06-29 02:40:00.0,Y
우리의원,영업/정상,의원,02-942-6800,서울특별시 성북구 정릉동 170번지 29호 예닮빌딩 2층,2018-07-26,,2024-12-04 00:05:00.0,Y
정릉삼성본의원,영업/정상,의원,02-911-7512,서울특별시 성북구 정릉동 408-3,2018-09-18,,2024-12-03 22:07:00.0,Y
박상현소아청소년과의원,영업/정상,의원,913-5700,서울특별시 성북구 정릉동 408번지 3호 204호,2018-12-05,,2019-01-19 02:40:00.0,Y
열린소아청소년과의원,영업/정상,의원,02-915-8899,서울특별시 성북구 정릉동 14번지 25호,2020-06-22,,2023-06-04 02:40:00.0,Y
숨편한인광호내과의원,영업/정상,의원,02-942-3375,서울특별시 성북구 정릉동 285-4 3층,2020-09-03,,2020-09-13 02:40:00.0,Y
서울바로치과의원,영업/정상,치과의원,02-6319-2875,"서울특별시 성북구 정릉동 403-8 2,3층",2020-11-17,,2024-06-23 02:40:00.0,Y
정릉손정신건강의학과의원,영업/정상,의원,02-918-7582,서울특별시 성북구 정릉동 404-14,2021-05-07,,2021-05-22 02:40:00.0,Y
열린치과의원,영업/정상,치과의원,02-941-7522,서울특별시 성북구 정릉동 14-25 2층,2022-08-30,,2022-09-10 02:40:00.0,Y
서울바른가정의학과의원,영업/정상,의원,02-915-7575,서울특별시 성북구 정릉동 892-6,2024-04-24,,2024-05-12 02:40:00.0,Y
