사업장명,영업상태,업태,전화번호,주소,인허가일자,폐업일자,최종수정일,크롤링여부
풍년,영업/정상,일반이용업,02 9426762,서울특별시 성북구 정릉동 16-33 ,1990-05-23,,2023-06-04 02:40:00.0,Y
새마을 이용원,영업/정상,일반이용업,,서울특별시 성북구 정릉동 239 상가2동 107호,2002-11-18,,2023-06-04 02:40:00.0,Y
청화,영업/정상,일반이용업,0209172510,서울특별시 성북구 정릉동 258-37 1층 ,1983-10-07,,2023-06-04 02:40:00.0,Y
정릉,영업/정상,일반이용업,02 9147882,서울특별시 성북구 정릉동 184-6 ,2000-04-01,,2023-06-04 02:40:00.0,Y
영이용원,영업/정상,일반이용업,02 9138024,서울특별시 성북구 정릉동 305-8 ,2005-04-29,,2023-06-04 02:40:00.0,Y
청수,영업/정상,일반이용업,02 9135894,서울특별시 성북구 정릉동 786-1 ,1987-04-11,,2020-06-27 02:40:00.0,Y
스마일이용원,영업/정상,일반이용업,02 9091991,서울특별시 성북구 정릉동 175-19 ,2003-03-21,,2023-06-04 02:40:00.0,Y
정릉탕이용원,영업/정상,일반이용업,,서울특별시 성북구 정릉동 465-1 ,2008-07-25,,2022-05-05 02:40:00.0,Y
대흥,영업/정상,일반이용업,02 9425300,서울특별시 성북구 정릉동 685-35번지 ,1991-06-21,,2018-08-31 23:59:59.0,Y
미일,영업/정상,일반이용업,02 9412337,서울특별시 성북구 정릉동 107-31 (2층) ,1995-11-20,,2023-06-04 02:40:00.0,Y
선경,영업/정상,일반이용업,0209139157,서울특별시 성북구 정릉동 523-2 ,1984-04-23,,2020-06-27 02:40:00.0,Y
큐사랑,영업/정상,일반이용업,,서울특별시 성북구 정릉동 110-22 ,2020-08-05,,2020-08-07 00:23:15.0,Y
청수탕 내 이용원,영업/정상,일반이용업,,서울특별시 성북구 정릉동 786-9 ,2022-10-26,,2022-10-28 00:22:39.0,Y
대성,영업/정상,일반이용업,,서울특별시 성북구 정릉동 685-83 ,1969-04-15,,2023-06-04 02:40:00.0,Y
태영이용실,영업/정상,일반이용업,,서울특별시 성북구 정릉동 1018번지 태영아파트 상가 지하1층 ,2013-08-06,,2018-08-31 23:59:59.0,Y
