사업장명,영업상태,업태,전화번호,주소,인허가일자,폐업일자,최종수정일,크롤링여부
파리바게뜨 정릉점,영업/정상,제과점영업,0209146913,서울특별시 성북구 정릉동 403-9 ,1970-04-18,,2021-08-12 02:40:00.0,Y
파리바게트(정릉청수점),영업/정상,제과점영업,,서울특별시 성북구 정릉동 779-2번지 ,1999-12-20,,2018-08-31 23:59:59.0,Y
파리바게뜨정릉풍림점,영업/정상,제과점영업,02 9198202,서울특별시 성북구 정릉동 239번지 ,2007-06-19,,2018-08-31 23:59:59.0,Y
파리바게뜨(정릉대림점),영업/정상,제과점영업,,"서울특별시 성북구 정릉동 1035-6번지 정릉대림(아)상가 104호,106호 ",2009-07-30,,2018-08-31 23:59:59.0,Y
파리바게뜨(정릉국민대점),영업/정상,제과점영업,,서울특별시 성북구 정릉동 894-13 (지상1층) ,2011-03-09,,2021-12-09 02:40:00.0,Y
그랑프리,영업/정상,제과점영업,,서울특별시 성북구 정릉동 408-24번지 ,2011-03-21,,2018-08-31 23:59:59.0,Y
뚜레쥬르(아리랑삼거리점),영업/정상,제과점영업,,서울특별시 성북구 정릉동 966-57번지 (지상1층) ,2011-09-23,,2018-08-31 23:59:59.0,Y
이지베이커리,영업/정상,제과점영업,02  2601 928,서울특별시 성북구 정릉동 405-2번지 ,2011-12-08,,2018-08-31 23:59:59.0,Y
파리바게뜨 정릉서경점,영업/정상,제과점영업,02  911 9122,서울특별시 성북구 정릉동 227-37 ,2015-02-02,,2021-05-01 02:40:00.0,Y
파리바게트 정릉국민대점 2호,영업/정상,제과점영업,,서울특별시 성북구 정릉동 894-3번지 ,2016-12-12,,2018-08-31 23:59:59.0,Y
쥬르드쥬아,영업/정상,제과점영업,,서울특별시 성북구 정릉동 685-10번지 삼성홈타운 A동 101호,2017-01-13,,2018-08-31 23:59:59.0,Y
이루카 베이커리,영업/정상,제과점영업,,서울특별시 성북구 정릉동 338-4번지 ,2018-04-03,,2018-08-31 23:59:59.0,Y
감구당,영업/정상,제과점영업,,서울특별시 성북구 정릉동 284-40번지 ,2019-05-29,,2020-03-12 02:40:00.0,Y
다락방케이크,영업/정상,제과점영업,02  915 6703,서울특별시 성북구 정릉동 16-138 ,2019-06-05,,2021-02-04 02:40:00.0,Y
오앤오케이크(O&OCAKE),영업/정상,제과점영업,,서울특별시 성북구 정릉동 227-164 ,2020-06-10,,2022-07-29 00:22:39.0,Y
정베이커리카페,영업/정상,제과점영업,,서울특별시 성북구 정릉동 336-2 ,2021-06-01,,2024-02-25 02:40:00.0,Y
뚜레쥬르 정릉풍림점,영업/정상,제과점영업,,서울특별시 성북구 정릉동 239 정릉풍림아이원 ,2022-03-22,,2024-07-27 02:40:00.0,Y
"구움,정",영업/정상,제과점영업,,서울특별시 성북구 정릉동 685-83 ,2023-11-10,,2023-11-12 00:17:15.0,Y
filling coffee,영업/정상,제과점영업,,서울특별시 성북구 정릉동 266-94 ,2024-02-06,,2024-02-08 00:16:10.0,Y
파리바게뜨 정릉제일,영업/정상,제과점영업,,서울특별시 성북구 정릉동 1034 길음뉴타운10단지 ,2024-05-14,,2024-05-16 00:14:48.0,Y
찰찰보리식빵 정릉점,영업/정상,제과점영업,,서울특별시 성북구 정릉동 400-25,2025-03-14,,2024-12-02 23:06:00.0,Y
