사업장명,영업상태,업태,전화번호,주소,인허가일자,폐업일자,최종수정일,크롤링여부
비타민 휘트니스클럽,영업/정상,,913-9517,서울특별시 성북구 정릉동 465-1번지 정릉빌딩 5층 ,2005-08-29,,2018-08-31 23:59:59.0,Y
드림 헬스클럽,취소/말소/만료/정지/중지,,6402-7373,서울특별시 성북구 정릉동 266-627번지 1층 ,2006-12-07,2020-05-11,2020-05-13 02:40:00.0,Y
오렌지휘트니스,영업/정상,,904-8311,서울특별시 성북구 정릉동 298-2번지 지하1층 ,2009-03-16,,2018-08-31 23:59:59.0,Y
ICWC 벨로드롬,영업/정상,,,서울특별시 성북구 정릉동 779-2 ,2010-09-30,,2022-10-07 02:40:00.0,Y
파워라인 휘트니스 클럽,영업/정상,,,서울특별시 성북구 정릉동 192-256번지 3층 ,2012-02-02,,2018-08-31 23:59:59.0,Y
건강한 정릉,영업/정상,,,서울특별시 성북구 정릉동 403-9 ,2019-05-23,,2023-09-13 02:40:00.0,Y
런앤핏 헬스&PT,영업/정상,,,서울특별시 성북구 정릉동 408-3 401호 ,2019-08-02,,2025-01-18 02:40:00.0,Y
스타짐 정릉,영업/정상,,,서울특별시 성북구 정릉동 1020번지 정릉우성스카이상가 ,2020-03-30,,2020-04-01 00:23:21.0,Y
솜솜 스포츠,영업/정상,,,서울특별시 성북구 정릉동 401-46번지 청수프라자 ,2020-04-07,,2020-04-09 00:23:32.0,Y
슬림라인 휘트니스,영업/정상,,07088434541,서울특별시 성북구 정릉동 284-16번지 ,2020-06-09,,2020-06-11 00:23:29.0,Y
당신의 PT,영업/정상,,,서울특별시 성북구 정릉동 1034 길음뉴타운10단지 ,2020-12-28,,2021-11-10 02:40:00.0,Y
운동쟁이,영업/정상,,,서울특별시 성북구 정릉동 161-17 명성빌딩 ,2023-01-12,,2025-01-18 02:40:00.0,Y
포무브,영업/정상,,,서울특별시 성북구 정릉동 170-21 상익빌딩 201호,2024-01-12,,2024-01-14 00:16:52.0,Y
어메이징휘트니스 정릉점,영업/정상,,,"서울특별시 성북구 정릉동 113-50 3, 4층 ",2024-08-07,,2024-08-11 02:40:00.0,Y
디파인더 바디 피트니스,영업/정상,,,"서울특별시 성북구 정릉동 192-256 A동 2, 3층 ",2024-08-14,,2025-01-18 02:40:00.0,Y
존버짐,영업/정상,,,"서울특별시 성북구 정릉동 239 정릉풍림아이원 상가2동 206, 207호 ",2025-01-06,,2025-02-02 02:40:00.0,Y
