사업장명,영업상태,업태,전화번호,주소,인허가일자,폐업일자,최종수정일,크롤링여부
용무태권도장,영업/정상,태권도,,서울특별시 성북구 정릉동 1034 길음뉴타운10단지 ,1989-12-11,,2023-01-07 02:40:00.0,Y
국가대표석사 정릉체육관(태권도),영업/정상,태권도,914-5329,서울특별시 성북구 정릉동 167-4번지 ,1992-07-28,,2018-08-31 23:59:59.0,Y
경희대 경일 태권도,영업/정상,태권도,,서울특별시 성북구 정릉동 139-3번지 소성빌딩 ,1994-04-28,,2019-12-21 02:40:00.0,Y
건영태권도,영업/정상,태권도,,서울특별시 성북구 정릉동 106-3번지 2층 ,1996-10-23,,2018-08-31 23:59:59.0,Y
한국체대 영웅태권도장,영업/정상,태권도,,서울특별시 성북구 정릉동 685-121 2층 ,1998-12-10,,2025-01-18 02:40:00.0,Y
삼봉태권도,영업/정상,태권도,942-3965,서울특별시 성북구 정릉동 192-263번지 ,2002-07-20,,2018-08-31 23:59:59.0,Y
엘리트 스포츠클럽,영업/정상,태권도,919-2426,서울특별시 성북구 정릉동 239번지 풍림@상가 303호 ,2003-04-01,,2018-08-31 23:59:59.0,Y
청수호키 태권도,취소/말소/만료/정지/중지,,(02)909-3637,서울특별시 성북구 정릉동 771-46번지 2층 ,2003-08-01,,2018-08-31 23:59:59.0,Y
비전태권도,영업/정상,태권도,02-919-5222,서울특별시 성북구 정릉동 494번지 정릉중앙하이츠빌1단지 상가3층 301호 ,2004-07-08,,2018-08-31 23:59:59.0,Y
정릉 용인대 태권도장,영업/정상,태권도,,서울특별시 성북구 정릉동 405-8 ,2006-01-31,,2023-04-19 02:40:00.0,Y
한국체대 고려월드 태권도장,영업/정상,태권도,02-909-0341,"서울특별시 성북구 정릉동 406-1 정릉푸르지오 상가 204,205호 ",2010-11-12,,2024-02-07 02:40:00.0,Y
JS Boxing Gym,영업/정상,권투,,서울특별시 성북구 정릉동 161-17번지 203호,2013-12-04,,2018-08-31 23:59:59.0,Y
경희대 박사 Tiger kicks 태권도,영업/정상,태권도,02-941-5988,서울특별시 성북구 정릉동 227-73번지 지하1층 ,2014-02-13,,2019-11-02 02:40:00.0,Y
헤라클레스 짐,취소/말소/만료/정지/중지,권투,02-943-7858,서울특별시 성북구 정릉동 107-33번지 지하1층 ,2014-02-17,2020-05-11,2020-05-13 02:40:00.0,Y
헤라클레스 피트니스,영업/정상,권투,02-943-7859,서울특별시 성북구 정릉동 227-74번지 지하1층 ,2014-02-17,,2018-08-31 23:59:59.0,Y
경희대 라이온 태권도,영업/정상,태권도,,서울특별시 성북구 정릉동 239 정릉풍림아이원 ,2016-03-02,,2024-11-14 02:40:00.0,Y
위빙복싱클럽(정릉점),영업/정상,권투,02-917-1282,서울특별시 성북구 정릉동 286-17 ,2016-05-16,,2023-10-27 02:40:00.0,Y
슈퍼키즈 태권도,영업/정상,태권도,,"서울특별시 성북구 정릉동 435번지 중앙하이츠빌2단지 상가동 201,2호",2017-11-13,,2018-08-31 23:59:59.0,Y
용인대 스포츠클럽,영업/정상,태권도,,서울특별시 성북구 정릉동 1021번지 정릉대우아파트 ,2019-02-25,,2019-02-27 02:21:34.0,Y
메이저 복싱짐,영업/정상,권투,02-943-7006,서울특별시 성북구 정릉동 227-74번지 ,2019-07-29,,2019-08-08 02:40:00.0,Y
화랑 태권도,영업/정상,태권도,,서울특별시 성북구 정릉동 1021번지 정릉대우아파트 ,2019-11-29,,2019-12-01 00:23:27.0,Y
라온 합기도&점핑클럽,영업/정상,합기도,,서울특별시 성북구 정릉동 239번지 정릉풍림아이원 ,2020-04-07,,2020-04-09 00:23:32.0,Y
위복싱짐,영업/정상,권투,,서울특별시 성북구 정릉동 16-202 ,2021-09-10,,2023-01-30 02:40:00.0,Y
