사업장명,영업상태,업태,전화번호,주소,인허가일자,폐업일자,최종수정일,크롤링여부
정의 문화사,영업/정상,,912-0294,서울특별시 성북구 정릉동 **번지 ,1972-12-14,,2018-08-31 23:59:59.0,Y
동방문화사,영업/정상,,914-1056,서울특별시 성북구 정릉동 ***-*번지 ,1975-06-12,,2018-08-31 23:59:59.0,Y
국민대학교 출판부,영업/정상,,,서울특별시 성북구 정릉동 ***-* ,1975-06-17,,2023-10-06 02:40:00.0,Y
서경대학교 출판부,영업/정상,,940-7004,서울특별시 성북구 정릉동 산 **-* 서경대학교 ,1976-12-24,,2024-02-03 02:40:00.0,Y
좋은책,영업/정상,,914-7496,서울특별시 성북구 정릉동 ***-**번지 ,1993-10-07,,2018-08-31 23:59:59.0,Y
보성고문서연구회,영업/정상,,914-2770,서울특별시 성북구 정릉동 ***-*번지 ,1995-12-22,,2018-08-31 23:59:59.0,Y
게임마트,영업/정상,,917--3509,서울특별시 성북구 정릉동 ***-*번지 ,1999-03-27,,2018-08-31 23:59:59.0,Y
펴냄홍,영업/정상,,941-4642,서울특별시 성북구 정릉동 ***-***번지 ,1999-10-29,,2018-08-31 23:59:59.0,Y
도서출판 성지각,영업/정상,,941-3637,서울특별시 성북구 정릉동 **-***번지 ,2000-01-26,,2018-08-31 23:59:59.0,Y
천국출판청,영업/정상,,,서울특별시 성북구 정릉동 ***-*번지 ,2000-02-28,,2018-08-31 23:59:59.0,Y
영원한복음 선교원,영업/정상,,941-5463,서울특별시 성북구 정릉동 ***-*번지 ,2000-03-09,,2018-08-31 23:59:59.0,Y
21세기문화원,영업/정상,,,서울특별시 성북구 정릉동 ***-** 신우빌라 ,2000-03-09,,2021-11-04 02:40:00.0,Y
이엠이북스,영업/정상,,6388-7177,서울특별시 성북구 정릉동 ***-**번지 ,2000-11-24,,2018-08-31 23:59:59.0,Y
홍익출판기획,영업/정상,,929-0420,서울특별시 성북구 정릉동 ***-*번지 ,2000-12-01,,2018-08-31 23:59:59.0,Y
논술X파일,영업/정상,,926-0909,서울특별시 성북구 정릉동 ***-**번지 ,2001-01-05,,2018-08-31 23:59:59.0,Y
열린사,영업/정상,,,서울특별시 성북구 정릉동 ***-*번지 ,2001-03-22,,2018-08-31 23:59:59.0,Y
도서출판 하늘북,영업/정상,,722-7484,서울특별시 성북구 정릉동 산 *-*번지 ,2001-09-27,,2018-08-31 23:59:59.0,Y
도서출판 조이앤북스,영업/정상,,,서울특별시 성북구 정릉동 **-***번지 ,2002-10-17,,2018-08-31 23:59:59.0,Y
역사문호,영업/정상,,,서울특별시 성북구 정릉동 ***-**번지 *층 ,2004-01-09,,2018-08-31 23:59:59.0,Y
휴먼라이프,영업/정상,,,서울특별시 성북구 정릉동 ***-**번지 ,2004-02-13,,2018-08-31 23:59:59.0,Y
글로벌랭귀지미디어,영업/정상,,,서울특별시 성북구 정릉동 ***번지 ,2004-05-03,,2018-08-31 23:59:59.0,Y
도서출판BOOKPLUS(북플러스),영업/정상,,,서울특별시 성북구 정릉동 ***-**번지 ,2004-10-11,,2018-08-31 23:59:59.0,Y
한 서적,영업/정상,,,서울특별시 성북구 정릉동 ***-*번지 ,2005-04-18,,2018-08-31 23:59:59.0,Y
금정,영업/정상,,911-5886,서울특별시 성북구 정릉동 ***-***번지 서광빌라 가동 ***호,2005-06-09,,2018-08-31 23:59:59.0,Y
(주)크레벤미디어,영업/정상,,,서울특별시 성북구 정릉동 ***-*번지 ,2005-09-08,,2018-08-31 23:59:59.0,Y
도서출판 성광,영업/정상,,,서울특별시 성북구 정릉동 ***-**번지 성광교회 ,2005-12-21,,2018-08-31 23:59:59.0,Y
지센글로벌,영업/정상,,,서울특별시 성북구 정릉동 ***-*번지 ,2006-09-15,,2018-08-31 23:59:59.0,Y
