사업장명,영업상태,업태,전화번호,주소,인허가일자,폐업일자,최종수정일,크롤링여부
바이타임정릉2점,영업/정상,일반조리판매,9118586,서울특별시 성북구 정릉동 16-117번지 ,1993-08-26,,2018-08-31 23:59:59.0,Y
노타리분식,영업/정상,일반조리판매,,서울특별시 성북구 정릉동 16-204번지 ,1998-11-06,,2018-08-31 23:59:59.0,Y
신씨네,영업/정상,일반조리판매,02 9161479,서울특별시 성북구 정릉동 409-95번지 ,2002-09-28,,2018-08-31 23:59:59.0,Y
도미노피자(정릉점),영업/정상,패스트푸드,02 9163082,서울특별시 성북구 정릉동 408-11 ,2005-05-12,,2023-12-24 02:40:00.0,Y
제이.엠(J.M)샌드위치로코,영업/정상,일반조리판매,02 9139951,서울특별시 성북구 정릉동 416-4번지 ,2006-09-08,,2018-08-31 23:59:59.0,Y
플레이스엔,영업/정상,커피숍,,서울특별시 성북구 정릉동 861-1 국민대 종합복지관 1층 206호 ,2008-11-03,,2020-10-13 02:40:00.0,Y
푸른집,영업/정상,일반조리판매,02  913 9736,서울특별시 성북구 정릉동 894-15번지 (1층) ,2010-01-25,,2018-08-31 23:59:59.0,Y
광수생각웰빙호떡&햄버거,영업/정상,기타 휴게음식점,0264036818,서울특별시 성북구 정릉동 654-34번지 지상1층 ,2010-12-22,,2018-08-31 23:59:59.0,Y
부산어묵,영업/정상,기타 휴게음식점,,서울특별시 성북구 정릉동 416-4번지 1층 ,2011-01-19,,2018-08-31 23:59:59.0,Y
롯데리아 정릉점,영업/정상,패스트푸드,,서울특별시 성북구 정릉동 411-33 ,2011-03-21,,2023-11-02 02:40:00.0,Y
놀,영업/정상,기타 휴게음식점,,서울특별시 성북구 정릉동 286-6번지 (지하1층) ,2011-04-19,,2018-08-31 23:59:59.0,Y
메가엠지씨커피(정릉보국문점),영업/정상,커피숍,02  911 4160,서울특별시 성북구 정릉동 284-16 ,2011-07-22,,2023-08-30 02:40:00.0,Y
야고비네,영업/정상,커피숍,02  923 6481,서울특별시 성북구 정릉동 746번지 1층 ,2011-09-27,,2018-08-31 23:59:59.0,Y
탐앤탐스정릉점,영업/정상,기타 휴게음식점,,서울특별시 성북구 정릉동 408-3번지 101호 ,2011-10-21,,2018-08-31 23:59:59.0,Y
요거프레소,영업/정상,기타 휴게음식점,02  912 0009,서울특별시 성북구 정릉동 396-41번지 ,2011-12-01,,2019-07-13 02:40:00.0,Y
국민대학교 생활협동조합 패스트푸드점,영업/정상,패스트푸드,02  910 4952,서울특별시 성북구 정릉동 861-1 공학관 1층 ,2012-08-24,,2024-06-19 02:40:00.0,Y
까페 에스피(CAFE SP),영업/정상,커피숍,,서울특별시 성북구 정릉동 산 16-1번지 ,2012-09-03,,2018-08-31 23:59:59.0,Y
CU 정릉우성점,영업/정상,일반조리판매,02  915 1478,"서울특별시 성북구 정릉동 1020번지 정릉우성아파트 상가동 101,102호",2012-09-12,,2018-08-31 23:59:59.0,Y
베스킨라빈스31 정릉시장점,영업/정상,패스트푸드,,서울특별시 성북구 정릉동 404-14번지 ,2012-09-26,,2018-08-31 23:59:59.0,Y
커피라움,영업/정상,커피숍,,서울특별시 성북구 정릉동 966-7번지 ,2013-01-15,,2018-08-31 23:59:59.0,Y
세븐일레븐 정릉서경대점,영업/정상,기타 휴게음식점,,서울특별시 성북구 정릉동 266-390 ,2013-06-26,,2022-11-25 02:40:00.0,Y
이디야커피전문점,영업/정상,커피숍,,서울특별시 성북구 정릉동 161-17 1층 ,2013-08-23,,2023-11-04 02:40:00.0,Y
카페미르,영업/정상,커피숍,02  910 4988,서울특별시 성북구 정릉동 861-1 국민대학교 3동 2호관 1층(북악관) ,2013-10-07,,2024-06-19 02:40:00.0,Y
아름다운정릉1동사람들 협동조합,영업/정상,기타 휴게음식점,,서울특별시 성북구 정릉동 산 16-182 2층 ,2014-01-02,,2022-10-27 02:40:00.0,Y
핫떡,영업/정상,기타 휴게음식점,02  941 8682,서울특별시 성북구 정릉동 110-40번지 ,2014-04-02,,2018-08-31 23:59:59.0,Y
홍고추,영업/정상,기타 휴게음식점,,서울특별시 성북구 정릉동 16-301번지 ,2014-06-12,,2018-08-31 23:59:59.0,Y
소문난떡볶이,영업/정상,일반조리판매,,서울특별시 성북구 정릉동 373-2번지 ,2014-06-26,,2018-08-31 23:59:59.0,Y
빽다방 정릉시장점,영업/정상,커피숍,02   9414849,서울특별시 성북구 정릉동 401-46 ,2014-08-27,,2022-11-13 02:40:00.0,Y
로렐,영업/정상,커피숍,02 9407900,서울특별시 성북구 정릉동 산 16-1 서경대학교 ,2014-09-05,,2024-05-22 02:40:00.0,Y
바비박스 국민대점,영업/정상,패스트푸드,,서울특별시 성북구 정릉동 861-1 ,2014-09-23,,2020-10-13 02:40:00.0,Y
(주)영우 카페나무,영업/정상,커피숍,0222741741,서울특별시 성북구 정릉동 861-1 복지관 (지하2층) ,2014-09-24,,2020-10-13 02:40:00.0,Y
카페바움,영업/정상,커피숍,070 43375797,서울특별시 성북구 정릉동 178-30번지 ,2015-03-18,,2018-08-31 23:59:59.0,Y
준이네 떡뽀끼,영업/정상,일반조리판매,,서울특별시 성북구 정릉동 239번지 ,2015-05-07,,2018-08-31 23:59:59.0,Y
시즌아이피시방정릉본점,영업/정상,일반조리판매,,서울특별시 성북구 정릉동 286-5번지 ,2015-07-17,,2018-08-31 23:59:59.0,Y
행복만복이,영업/정상,기타 휴게음식점,,서울특별시 성북구 정릉동 1021번지 정릉대우아파트 상가동 203호 ,2015-08-18,,2018-08-31 23:59:59.0,Y
세븐일레븐 성북정릉동아점,영업/정상,편의점,,서울특별시 성북구 정릉동 210 ,2015-11-25,,2025-01-25 02:40:00.0,Y
아트하이,영업/정상,커피숍,,서울특별시 성북구 정릉동 383-80 ,2015-09-03,,2021-11-05 02:40:00.0,Y
더샾pc방 정릉점,영업/정상,기타 휴게음식점,,서울특별시 성북구 정릉동 373-4번지 성신프라자 203호 ,2016-01-08,,2018-08-31 23:59:59.0,Y
리틀언니 디저트카페,영업/정상,커피숍,,서울특별시 성북구 정릉동 16-314,2016-02-01,,2024-12-04 00:09:00.0,Y
카페보다,영업/정상,커피숍,02  32921615,서울특별시 성북구 정릉동 227-124번지 ,2016-03-24,,2018-08-31 23:59:59.0,Y
세븐일레븐 정릉이수점,영업/정상,편의점,,서울특별시 성북구 정릉동 45-39 ,2016-04-12,,2024-02-18 02:40:00.0,Y
